Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE,District 14 Estimate,District 14 MOE,District 15 Estimate,District 15 MOE,District 16 Estimate,District 16 MOE
People,Sex and Age,Total population,740979,(+/- 7053 ),734712,(+/- 8438 ),812264,(+/- 10897 ),707219,(+/- 5766 ),717088,(+/- 6416 ),694694,(+/- 6537 ),734091,(+/- 8723 ),731637,(+/- 2063 ),716235,(+/- 10767 ),725301,(+/- 1247 ),678001,(+/- 12524 ),789634,(+/- 9907 ),707603,(+/- 11156 ),720551,(+/- 8821 ),759569,(+/- 9905 ),719864,(+/- 10469 )
People,Sex and Age,Male,364833,(+/- 4835 ),355233,(+/- 5576 ),392688,(+/- 6448 ),354005,(+/- 3540 ),350558,(+/- 4053 ),347597,(+/- 3806 ),359617,(+/- 5145 ),359483,(+/- 1917 ),353828,(+/- 6478 ),352360,(+/- 1236 ),314509,(+/- 6959 ),393211,(+/- 5780 ),342793,(+/- 6972 ),353710,(+/- 6179 ),382574,(+/- 5819 ),355096,(+/- 6138 )
People,Sex and Age,Female,376146,(+/- 5251 ),379479,(+/- 5305 ),419576,(+/- 7142 ),353214,(+/- 3951 ),366530,(+/- 4126 ),347097,(+/- 4479 ),374474,(+/- 5584 ),372154,(+/- 1731 ),362407,(+/- 7234 ),372941,(+/- 953 ),363492,(+/- 7376 ),396423,(+/- 6303 ),364810,(+/- 6160 ),366841,(+/- 4467 ),376995,(+/- 6483 ),364768,(+/- 6491 )
People,Sex and Age,Under 5 years,49285,(+/- 2101 ),42239,(+/- 2156 ),64009,(+/- 2637 ),41656,(+/- 1850 ),42060,(+/- 1816 ),37727,(+/- 1625 ),43556,(+/- 2358 ),43353,(+/- 864 ),42471,(+/- 2475 ),43530,(+/- 381 ),40244,(+/- 2637 ),48585,(+/- 2845 ),36365,(+/- 2531 ),37857,(+/- 2112 ),40724,(+/- 2430 ),39468,(+/- 2524 )
People,Sex and Age,5 to 9 years,42987,(+/- 3917 ),47609,(+/- 3202 ),53800,(+/- 3558 ),43071,(+/- 2902 ),44488,(+/- 2489 ),36661,(+/- 2656 ),48952,(+/- 3256 ),43431,(+/- 2424 ),40850,(+/- 3600 ),41631,(+/- 2116 ),35949,(+/- 3033 ),49701,(+/- 3143 ),38808,(+/- 3366 ),39980,(+/- 2516 ),43674,(+/- 3579 ),39534,(+/- 2836 )
People,Sex and Age,10 to 14 years,52374,(+/- 3591 ),47981,(+/- 3049 ),52396,(+/- 3249 ),44838,(+/- 2229 ),46464,(+/- 2681 ),44646,(+/- 2740 ),48733,(+/- 3263 ),52545,(+/- 2525 ),45265,(+/- 3872 ),45822,(+/- 2190 ),38509,(+/- 3555 ),53443,(+/- 3578 ),38383,(+/- 3032 ),46437,(+/- 3187 ),47342,(+/- 2922 ),47061,(+/- 3356 )
People,Sex and Age,15 to 19 years,53574,(+/- 2142 ),44286,(+/- 2824 ),60369,(+/- 3531 ),47657,(+/- 1911 ),49843,(+/- 2223 ),42474,(+/- 2091 ),47646,(+/- 2534 ),52758,(+/- 1168 ),45527,(+/- 2680 ),49185,(+/- 1109 ),43658,(+/- 2639 ),48672,(+/- 2419 ),47437,(+/- 2906 ),45095,(+/- 2185 ),51005,(+/- 3375 ),44086,(+/- 2767 )
People,Sex and Age,20 to 24 years,45892,(+/- 2424 ),43138,(+/- 2649 ),60487,(+/- 3359 ),46480,(+/- 2171 ),45499,(+/- 2116 ),38357,(+/- 2278 ),43309,(+/- 2543 ),52899,(+/- 902 ),50947,(+/- 3008 ),49302,(+/- 1477 ),48652,(+/- 2646 ),49176,(+/- 3190 ),54746,(+/- 3046 ),38312,(+/- 2489 ),48682,(+/- 2525 ),36763,(+/- 2702 )
People,Sex and Age,25 to 34 years,103031,(+/- 4047 ),100441,(+/- 4419 ),150808,(+/- 5330 ),81639,(+/- 2487 ),82549,(+/- 3168 ),76807,(+/- 2072 ),85302,(+/- 3012 ),83093,(+/- 1711 ),108248,(+/- 4499 ),97897,(+/- 1541 ),96713,(+/- 3869 ),103870,(+/- 4849 ),90885,(+/- 4158 ),77594,(+/- 3196 ),108139,(+/- 4258 ),86088,(+/- 4712 )
People,Sex and Age,35 to 44 years,88864,(+/- 2920 ),92547,(+/- 2944 ),103426,(+/- 4502 ),84631,(+/- 2362 ),83745,(+/- 2554 ),79741,(+/- 2162 ),86962,(+/- 3454 ),86756,(+/- 1538 ),81725,(+/- 4431 ),83722,(+/- 1557 ),74722,(+/- 3436 ),105548,(+/- 3663 ),79058,(+/- 3312 ),82695,(+/- 3301 ),100774,(+/- 3634 ),81847,(+/- 4127 )
